id,genre,track_name,artist_name,valence,energy
0mkikbv3LQNTOuQuwuxNIs,"['glam rock', 'mellow gold', 'piano rock']",Don't Let The Sun Go Down On Me - Live From Moscow / 1979,Elton John,0.268,0.469
6q8XHT9eax6UnNnqFTi7W5,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",Take On Me - Live,a-ha,0.212,0.957
0B8dJbFyc2SZgiolBwNQsM,"['disco', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']",True - Live from the N.E.C.,Spandau Ballet,0.299,0.872
79q1innJON7NybaUwagqpv,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']","Land Of Confusion - Live From Helsinki,Finland/2007",Genesis,0.678,0.822
44pRfHnmboXkuPfbzOGYS3,"['adult standards', 'disco', 'mellow gold', 'quiet storm', 'soft rock']",Endless Love - Live In Paris,Lionel Richie,0.505,0.613
5DPHFR4RnZfNdrxkqvvPtb,"['boy band', 'dance pop', 'europop', 'pop rock']",I Knew I Loved You - Live,Savage Garden,0.455,0.914
16rY0iVeZej75AUQZlx2sx,"['glam rock', 'mellow gold', 'piano rock']",Goodbye Yellow Brick Road - Live,Elton John,0.417,0.675
6jeiWSS6Esw9HSIGF7of2A,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",Hunting High And Low - Live,a-ha,0.221,0.686
0jkicPAjQnmOb9kKH9rmzP,"['british soul', 'neo soul', 'sophisti-pop']","Your Love Is King - Live at Live Aid, Wembley Stadium, 13th July 1985",Sade,0.538,0.638
0onkIMPgaJDynd4x2tSpjS,"['dance pop', 'pop', 'urban contemporary']",I'm Every Woman - Live from The Concert for a New South Africa,Whitney Houston,0.446,0.932
3rKvSHAmZ28B33JCTVnsu3,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",All of Me - Live,John Legend,0.367,0.219
3hEy5GbQv7yC1X6yhoPz2y,"['europop', 'swedish pop']",Gimme! Gimme! Gimme! (A Man After Midnight) - Live,ABBA,0.459,0.776
2ZSZ3DVneZwm825D6FueYS,"['neo mellow', 'neo soul', 'pop', 'pop rock']",You Give Me Something - Live At The Hospital Club,James Morrison,0.383,0.329
1Iw1FOdlNmchEKpqXn2i2r,"['mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']","Heaven Is a Place On Earth (Live at Indigo at the O2, London, 13/10/2017)",Belinda Carlisle,0.409,0.665
0AQ7KFLa7POKk4gBKKYyr0,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'sophisti-pop', 'synthpop']",Don't You Want Me,The Human League,0.338,0.636
12tg7YyxM5PWXz66U2kyrU,"['album rock', 'art rock', 'classic rock', 'glam rock', 'melancholia', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'solo wave', 'sophisti-pop']","Slave to Love - Live at Live Aid, Wembley Stadium, 13th July 1985",Bryan Ferry,0.737,0.951
7E4dtl5gWROiMKibvedh0i,"['british soul', 'indie r&b', 'neo soul']",Rehab - Live On Jools Holland,Amy Winehouse,0.425,0.773
5r6UJphd3l3sVEfeZpEZHy,"['pop', 'uk pop']",Sing - Live and in Session,Ed Sheeran,0.826,0.719
4UlDVPKXlZhdV7HasSq4J1,"['dance pop', 'pop']",Sorry - Live,Madonna,0.325,0.864
7zuIBCPM49C9pzm5p7R5N2,"['dance pop', 'europop', 'soft rock']",Life Is A Rollercoaster - Live,Ronan Keating,0.43,0.895
0EmusWHa1oo4iRe1OqgOqH,"['art rock', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']","Every Time You Go Away - Live at Live Aid, Wembley Stadium, 13th July 1985",Paul Young,0.656,0.805
1OgHmtpQItAfUeYEySAnk1,[],Star People - Live,George Michael,0.946,0.73
1Tmn4RzLBoZRryh3NJPlLd,"['dance pop', 'pop', 'urban contemporary']",My Love Is Your Love - Live from Late Show with David Letterman,Whitney Houston,0.561,0.736
7IdznjcKCOWhydUH02Istz,"['dance pop', 'pop', 'post-teen pop']","I Kissed A Girl - Live At MTV Unplugged, 2009",Katy Perry,0.168,0.62
5YLtMey9oPxdo0wecwyv21,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",She Wolf - El Dorado World Tour Live,Shakira,0.525,0.957
